sentences,result
Tom stepped on a book that was left on the floor.Tom walked in the door.Tom stomped on the carpet in anger.Tom picked up the radio and smashed it on the floor.Tom gave the box he was holding to his wife and apologized for his outburst.,plausible
Tom walked in the door.Tom stepped on a book that was left on the floor.Tom stomped on the carpet in anger.Tom picked up the radio and smashed it on the floor.Tom gave the box he was holding to his wife and apologized for his outburst.,plausible
Tom walked in the door.Tom stepped on a book that was left on the floor.Tom gave the box he was holding to his wife and apologized for his outburst.Tom picked up the radio and smashed it on the floor.Tom stomped on the carpet in anger.,plausible
Tom walked in the door.Tom stepped on a book that was left on the floor.Tom stomped on the carpet in anger.Tom picked up the radio and smashed it on the floor.Tom gave the box he was holding to his wife and apologized for his outburst.,plausible
John filled the sandbox with sand.John set the sandbox by the tree.John put his shoes in the duffle bag.John took off his shoes.John got in the sandbox.,implausible
John filled the sandbox with sand.John set the sandbox by the tree.John took off his shoes.John put his shoes in the duffle bag.John got in the sandbox.,implausible
John filled the sandbox with sand.John got in the sandbox.John took off his shoes.John put his shoes in the duffle bag.John set the sandbox by the tree.,implausible
John filled the sandbox with sand.John set the sandbox by the tree.John took off his shoes.John put his shoes in the duffle bag.John got in the sandbox.,implausible
John got in the sandbox.John set the sandbox by the tree.John took off his shoes.John put his shoes in the duffle bag.John filled the sandbox with sand.,implausible
John filled the sandbox with sand.John set the sandbox by the tree.John took off his shoes.John put his shoes in the duffle bag.John got in the sandbox.,implausible
Ann sat on her chair at her desktop computer.Ann cut the note she had made out of her notebook with scissors and crumpled it up.Ann picked up a pen and made a note in her notebook.Ann threw the crumpled note into the outside bin.Ann checked her email.,implausible
Ann sat on her chair at her desktop computer.Ann picked up a pen and made a note in her notebook.Ann cut the note she had made out of her notebook with scissors and crumpled it up.Ann threw the crumpled note into the outside bin.Ann checked her email.,plausible
Ann sat on her chair at her desktop computer.Ann picked up a pen and made a note in her notebook.Ann threw the crumpled note into the outside bin.Ann cut the note she had made out of her notebook with scissors and crumpled it up.Ann checked her email.,plausible
Ann sat on her chair at her desktop computer.Ann picked up a pen and made a note in her notebook.Ann cut the note she had made out of her notebook with scissors and crumpled it up.Ann threw the crumpled note into the outside bin.Ann checked her email.,plausible
Ann checked her email.Ann picked up a pen and made a note in her notebook.Ann cut the note she had made out of her notebook with scissors and crumpled it up.Ann threw the crumpled note into the outside bin.Ann sat on her chair at her desktop computer.,implausible
Ann sat on her chair at her desktop computer.Ann picked up a pen and made a note in her notebook.Ann cut the note she had made out of her notebook with scissors and crumpled it up.Ann threw the crumpled note into the outside bin.Ann checked her email.,plausible
Ryan turned the water on and got into the shower.Ryan went into the bathroom to take a shower.Ryan washed himself all over with soap.Ryan washed his hair with shampoo and conditioner.Ryan got out of the shower and got dressed again.,implausible
Ryan went into the bathroom to take a shower.Ryan turned the water on and got into the shower.Ryan washed himself all over with soap.Ryan washed his hair with shampoo and conditioner.Ryan got out of the shower and got dressed again.,implausible
Ryan went into the bathroom to take a shower.Ryan got out of the shower and got dressed again.Ryan washed himself all over with soap.Ryan washed his hair with shampoo and conditioner.Ryan turned the water on and got into the shower.,implausible
Ryan went into the bathroom to take a shower.Ryan turned the water on and got into the shower.Ryan washed himself all over with soap.Ryan washed his hair with shampoo and conditioner.Ryan got out of the shower and got dressed again.,implausible
Ryan went into the bathroom to take a shower.Ryan turned the water on and got into the shower.Ryan got out of the shower and got dressed again.Ryan washed his hair with shampoo and conditioner.Ryan washed himself all over with soap.,implausible
Ryan went into the bathroom to take a shower.Ryan turned the water on and got into the shower.Ryan washed himself all over with soap.Ryan washed his hair with shampoo and conditioner.Ryan got out of the shower and got dressed again.,implausible
Ryan washed his hair with shampoo and conditioner.Ryan turned the water on and got into the shower.Ryan washed himself all over with soap.Ryan went into the bathroom to take a shower.Ryan got out of the shower and got dressed again.,implausible
Ryan went into the bathroom to take a shower.Ryan turned the water on and got into the shower.Ryan washed himself all over with soap.Ryan washed his hair with shampoo and conditioner.Ryan got out of the shower and got dressed again.,implausible
Ryan washed himself all over with soap.Ryan turned the water on and got into the shower.Ryan went into the bathroom to take a shower.Ryan washed his hair with shampoo and conditioner.Ryan got out of the shower and got dressed again.,implausible
Ryan went into the bathroom to take a shower.Ryan turned the water on and got into the shower.Ryan washed himself all over with soap.Ryan washed his hair with shampoo and conditioner.Ryan got out of the shower and got dressed again.,implausible
Ann wanted a glass of wine with dinner.Ann looked for something else she could use to drink her wine.Ann found all the wine glasses were dirty.Ann noticed a blue mug sitting on her cutting board on her kitchen counter.Ann poured some wine into the mug.,plausible
Ann wanted a glass of wine with dinner.Ann found all the wine glasses were dirty.Ann looked for something else she could use to drink her wine.Ann noticed a blue mug sitting on her cutting board on her kitchen counter.Ann poured some wine into the mug.,plausible
Ann wanted a glass of wine with dinner.Ann found all the wine glasses were dirty.Ann looked for something else she could use to drink her wine.Ann poured some wine into the mug.Ann noticed a blue mug sitting on her cutting board on her kitchen counter.,implausible
Ann wanted a glass of wine with dinner.Ann found all the wine glasses were dirty.Ann looked for something else she could use to drink her wine.Ann noticed a blue mug sitting on her cutting board on her kitchen counter.Ann poured some wine into the mug.,plausible
Ann wanted a glass of wine with dinner.Ann found all the wine glasses were dirty.Ann poured some wine into the mug.Ann noticed a blue mug sitting on her cutting board on her kitchen counter.Ann looked for something else she could use to drink her wine.,implausible
Ann wanted a glass of wine with dinner.Ann found all the wine glasses were dirty.Ann looked for something else she could use to drink her wine.Ann noticed a blue mug sitting on her cutting board on her kitchen counter.Ann poured some wine into the mug.,plausible
John turned on the faucet.John looked around for detergent but did not find it.John found a soap bar in the cabinet.John used the soap bar and brush to clean the faucet.John picked up a brush.,implausible
John turned on the faucet.John looked around for detergent but did not find it.John found a soap bar in the cabinet.John picked up a brush.John used the soap bar and brush to clean the faucet.,plausible
John turned on the faucet.John looked around for detergent but did not find it.John used the soap bar and brush to clean the faucet.John picked up a brush.John found a soap bar in the cabinet.,implausible
John turned on the faucet.John looked around for detergent but did not find it.John found a soap bar in the cabinet.John picked up a brush.John used the soap bar and brush to clean the faucet.,plausible
"Mike opened the microwave.Mike put the food into a bowl, and threw the wrapper in the dustbin.Mike cut the apple with a knife.Mike got a spoon and a knife from the drawer.Mike cooked an egg.",implausible
"Mike opened the microwave.Mike put the food into a bowl, and threw the wrapper in the dustbin.Mike got a spoon and a knife from the drawer.Mike cut the apple with a knife.Mike cooked an egg.",implausible
"Tom blended flour, butter and egg together.Tom desired to make a cake.Tom put the dough into the oven.Tom set the timer in the oven.Tom washed his hands under the faucet.",implausible
"Tom desired to make a cake.Tom blended flour, butter and egg together.Tom put the dough into the oven.Tom set the timer in the oven.Tom washed his hands under the faucet.",plausible
"Tom put the dough into the oven.Tom blended flour, butter and egg together.Tom desired to make a cake.Tom set the timer in the oven.Tom washed his hands under the faucet.",implausible
"Tom desired to make a cake.Tom blended flour, butter and egg together.Tom put the dough into the oven.Tom set the timer in the oven.Tom washed his hands under the faucet.",plausible
"Tom desired to make a cake.Tom put the dough into the oven.Tom blended flour, butter and egg together.Tom set the timer in the oven.Tom washed his hands under the faucet.",implausible
"Tom desired to make a cake.Tom blended flour, butter and egg together.Tom put the dough into the oven.Tom set the timer in the oven.Tom washed his hands under the faucet.",plausible
Ann put in the bleach.Ann opened the washing machine.Ann put in her pants.Ann put in her towel.Ann turned on the washing machine.,implausible
Ann opened the washing machine.Ann put in the bleach.Ann put in her pants.Ann put in her towel.Ann turned on the washing machine.,plausible
Ann put in her towel.Ann put in the bleach.Ann put in her pants.Ann opened the washing machine.Ann turned on the washing machine.,implausible
Ann opened the washing machine.Ann put in the bleach.Ann put in her pants.Ann put in her towel.Ann turned on the washing machine.,plausible
Ann put in her pants.Ann put in the bleach.Ann opened the washing machine.Ann put in her towel.Ann turned on the washing machine.,implausible
